KE,KT,HC_prop,scale,KC,scenario,HC_label,N,dN
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.470655596908102,-0.001336242299456636
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.573718866304036,-0.0013068962127321122
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.676782135699971,-0.0012752256476657416
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.779845405095907,-0.0012412561482354793
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.88290867449184,-0.0012050132584192758
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.985971943887776,-0.001166522522195084
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.08903521328371,-0.001125809483540858
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.192098482679645,-0.0010828996864345468
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.29516175207558,-0.0010378186748541064
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.398225021471514,-9.905919927774877e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.50128829086745,-9.412451841826425e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.604351560263384,-8.898037930475261e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.707414829659319,-8.36293363350087e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.810478099055254,-7.807394390682799e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,13.913541368451188,-7.231675641800592e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.016604637847124,-6.636032826633732e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.119667907243057,-6.020721384961776e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.222731176638993,-5.38599675656424e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.325794446034926,-4.732114381220645e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.428857715430862,-4.059329698710521e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.531920984826797,-3.367898148813377e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.634984254222731,-2.658075171308763e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.738047523618667,-1.9301162059761931e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.8411107930146,-1.1842766925951908e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,14.944174062410536,-4.208120709452694e-5
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.047237331806471,3.600222191940344e-5
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.150300601202405,1.157970738043157e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.25336387059834,1.972778045822663e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.356427139994274,2.8041887027529497e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.45949040939021,3.6519472690545196e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.562553678786143,4.5157983049478456e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.665616948182079,5.395486370653405e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.768680217578014,6.290756026391671e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.871743486973948,7.201351832383118e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,15.974806756369883,8.127018348848253e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.07787002576582,9.067500136007491e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.18093329516175,0.0010022541754081305
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.283996564557686,0.0010991887763290237
