site_code,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,sim_id,basin_start
AL,10,0.27884615384615385,5.743764778599143,33.604647216852754,120.51321760526504,120.51321760526504,0.005425346742681836,FALSE,146,Endemic
RR,30,0.46880000000000005,9.394025288987905,16.367445783689618,34.91349356589082,34.91349356589082,0.0015048589307248715,FALSE,147,Outbreak basin
GR,65,0.26380873866446825,5.547892558155581,36.747042406350374,139.2942576215719,139.2942576215719,0.008207478820347208,FALSE,148,Outbreak basin
TW,5,0.3655999999999999,7.8741641622036695,16.357725081034005,44.74213643608864,44.74213643608864,0.015577111275105826,FALSE,149,Endemic
GR,55,0.5808,6.727466792333871,17.60610709665343,30.313545276607147,60.50000000000001,0.015531912104377012,TRUE,150,Outbreak basin
TW,15,0.5124099279423538,3.5099879396148026,28.131151625420898,54.89970059398548,54.89970059398548,0.006833823437787764,FALSE,151,Endemic
TW,15,0.3191659983961508,5.504139288095757,42.967700434383005,134.62493075797892,134.62493075797892,0.009309259847307943,FALSE,152,Endemic
TB,5,0.46036829463570855,8.55153856612742,16.71321108704433,36.30400112646672,36.30400112646672,0.015164973238485717,FALSE,153,Endemic
TB,0,0.5164658634538153,5.439775349572301,39.99880132963881,77.44713476734108,77.44713476734108,0.010671899430655503,FALSE,154,Endemic
TW,5,0.3191659983961508,7.940159598831087,15.171200099866837,47.53388574003504,47.53388574003504,0.004096982038367371,FALSE,155,Endemic
AL,0,0.2696,9.608605447690934,28.12464812770486,104.3199114529112,104.3199114529112,0.008167872421860631,FALSE,156,Endemic
SI,0,0.7510008006405124,5.301397340837866,27.392742766533047,36.47498477121511,36.47498477121511,0.0013851376658022233,FALSE,157,Endemic
GR,30,0.45280000000000004,8.632526845671237,30.03119156230241,66.32330292027918,66.32330292027918,0.016420829103358184,FALSE,158,Endemic
TB,5,0.48314606741573035,5.3227265912573785,28.440712527371943,58.86566081246751,58.86566081246751,0.001131253590288111,FALSE,159,Endemic
TB,5,0.5508406725380304,5.97527760011144,17.165777860209346,31.162872888664936,31.162872888664936,0.00783413951274093,FALSE,160,Endemic
GR,45,0.26380873866446825,3.0912667927332222,27.697682103607804,104.99152622398833,104.99152622398833,0.018460286537951186,FALSE,161,Outbreak basin
TW,50,0.5124099279423538,3.86124920938164,31.81157284649089,62.082272633229884,62.082272633229884,0.002047984923353281,FALSE,162,Outbreak basin
TW,55,0.5124099279423538,9.316628584405407,31.910652292426676,62.27563236443894,62.27563236443894,0.007925148395415459,FALSE,163,Outbreak basin
RR,35,0.5012244897959184,8.934536002809182,28.40458325576037,56.67038190277924,56.67038190277924,0.0033331774971272206,FALSE,164,Outbreak basin
TB,5,0.35504885993485336,9.421610825229436,38.94903189735487,109.7004843347518,109.7004843347518,0.004513269965325315,FALSE,165,Endemic
SI,0,0.5785656728444802,9.865327205043286,16.568918216507882,28.63792131850457,28.63792131850457,0.0031442694258263263,FALSE,166,Endemic
RR,30,0.5584,5.81613378576003,15.827873591333628,28.3450458297522,33,0.01272231818766175,TRUE,167,Outbreak basin
RR,25,0.39556592765460913,7.254025510745123,19.143379074521363,48.3949140615481,48.3949140615481,0.013586336353511114,FALSE,168,Outbreak basin
SI,0,0.5785656728444802,8.809638134436682,30.71136746322736,53.08190393017431,53.08190393017431,0.006760455217241414,FALSE,169,Endemic
AL,15,0.58,5.8174571234267205,38.178138413932174,65.82437657574513,65.82437657574513,0.017293193579486693,FALSE,170,Endemic
TB,5,0.46036829463570855,4.303060182835907,37.64122724533081,81.76329187724902,81.76329187724902,0.009066809140754457,FALSE,171,Endemic
TB,5,0.46036829463570855,7.720908132614568,16.247105193324387,35.29153806341245,35.29153806341245,0.006875349954853742,FALSE,172,Endemic
TW,40,0.3191659983961508,8.022824157262221,36.51409863028675,114.4047261104713,114.4047261104713,0.001980882397795944,FALSE,173,Outbreak basin
TB,5,0.46036829463570855,7.162746187997982,42.544354372657835,92.41373671556458,92.41373671556458,0.0028652384330659247,FALSE,174,Endemic
TB,5,0.35504885993485336,6.103559574577957,35.88638045825064,101.07448440993531,101.07448440993531,0.007520541135143314,FALSE,175,Endemic
AL,10,0.5659259259259259,3.188438434386626,34.68878088751808,61.29562067820603,61.29562067820603,0.009366623291604556,FALSE,176,Endemic
TW,15,0.4238782051282051,3.6144073239993304,23.10862587299198,54.517136275035895,54.517136275035895,0.0010038194292966403,FALSE,177,Endemic
TB,5,0.6664,5.514495822135359,35.341936787590384,53.034118828917144,53.034118828917144,0.0029928572202213653,FALSE,178,Endemic
TB,5,0.552,9.119170691352338,42.113246123772115,76.29211254306541,76.29211254306541,0.004178126291610499,FALSE,179,Endemic
GR,25,0.20394736842105263,5.286062438972294,26.551488807890564,130.1879451225602,130.1879451225602,0.0026931658940767323,FALSE,180,Endemic
SI,5,0.8128,6.619029053021222,23.23577387491241,28.587320220118617,28.587320220118617,0.003788445656940594,FALSE,181,Endemic
RR,25,0.39556592765460913,5.959498151671141,33.14207667019218,83.78395193614955,83.78395193614955,0.0019341224794422861,FALSE,182,Endemic
SI,0,0.7510008006405124,4.711832946864888,30.26809372007847,40.303677032385934,40.303677032385934,0.004676883033766675,FALSE,183,Endemic
RR,25,0.39556592765460913,9.026405308628455,18.35007298272103,46.389417540389154,46.389417540389154,0.0025794216935907575,FALSE,184,Outbreak basin
RR,40,0.484,8.06837876024656,16.361734746024013,33.80523707856201,44,0.0013854225453315805,TRUE,185,Outbreak basin
RR,20,0.484,3.644380954094231,29.112270895857364,60.14932003276315,60.14932003276315,0.014000022377241123,FALSE,186,Endemic
AL,10,0.2696,9.194482841994613,19.436563176568598,72.09407706442357,72.09407706442357,0.0025877530558129427,FALSE,187,Endemic
SI,0,0.8128,5.521052334457636,17.074641357176006,21.007186709124024,21.007186709124024,0.0029462887999453184,FALSE,188,Endemic
SI,15,0.7219983883964545,3.7880920744501054,20.822665519081056,28.840321327209363,28.840321327209363,0.00891159854494319,FALSE,189,Endemic
GR,20,0.26380873866446825,5.140460015041754,41.72107758466154,158.14895971935766,158.14895971935766,0.0018848542780878874,FALSE,190,Endemic
RR,30,0.5012244897959184,5.698847886174917,15.046015460975468,30.018516188428254,33,0.005456094590034697,TRUE,191,Outbreak basin
SI,0,0.696,7.569212930742651,24.690377921797335,35.47468092212261,35.47468092212261,0.0016074954485075562,FALSE,192,Endemic
TB,5,0.48314606741573035,4.09650463424623,27.112996706273407,56.11759783391472,56.11759783391472,0.0021959175582470254,FALSE,193,Endemic
GR,50,0.45280000000000004,6.207396368728951,37.06841497449204,81.86487406027393,81.86487406027393,0.0011750581746008686,FALSE,194,Outbreak basin
TW,5,0.2648,6.1945907890331,43.74436126090586,165.19773890070192,165.19773890070192,0.010220246211380795,FALSE,195,Endemic
TW,5,0.4238782051282051,8.40788313979283,41.12168085761368,97.0129635355423,97.0129635355423,0.0025542980866051835,FALSE,196,Endemic
TB,5,0.6664,5.469859023112804,35.2671928354539,52.9219580363954,52.9219580363954,0.0022379115824467787,FALSE,197,Endemic
TB,0,0.48314606741573035,7.401503619737923,22.257884871214628,46.06864543111865,46.06864543111865,0.0161556935062554,FALSE,198,Endemic
