sim_id,site_code,date,temp_c,r_t,N,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,basin_start,final_ratio_KC,final_ratio_KT,ended_above_KT,ended_near_KC,ended_near_KE,outcome
6586,GR,2026-06-26,30.371103922526043,0.15,57.016000332178585,45,0.5808,3.84213674464263,33.2762572565116,57.29383136451722,57.29383136451722,0.01556468125693906,FALSE,Outbreak basin,0.9951507688398249,1.713413858195291,TRUE,TRUE,FALSE,Carrying capacity
6587,RR,2026-06-26,30.371103922526043,0.15,26.305779258936703,25,0.46880000000000005,5.5965270444285125,18.662358017172664,39.80878416632394,39.80878416632394,0.0010575882171629397,FALSE,Outbreak basin,0.6608033832188716,1.4095635307569783,TRUE,FALSE,FALSE,Above threshold
6588,RR,2026-06-26,30.371103922526043,0.15,46.177843441335384,45,0.5012244897959184,7.006359038641676,41.315789620857686,82.4297105627861,82.4297105627861,0.0014338362509466864,FALSE,Outbreak basin,0.5602087296686801,1.1176802831337673,TRUE,FALSE,FALSE,Above threshold
6589,TW,2026-06-26,30.371103922526043,0.15,14.663830350615928,15,0.4238782051282051,9.384777833940461,18.424649506341666,43.46684798471531,43.46684798471531,0.0010369356108742382,FALSE,Endemic,0.3373566529547374,0.7958811018667528,FALSE,FALSE,FALSE,Intermediate
6590,RR,2026-06-26,30.371103922526043,0.15,9.869017204466317,10,0.5244195356285029,9.751969220349565,18.602132408414036,35.471852485662794,35.471852485662794,0.004822162308572021,FALSE,Endemic,0.2782210827149563,0.5305314997114206,FALSE,FALSE,FALSE,Intermediate
6591,GR,2026-06-26,30.371103922526043,0.15,52.94898540350284,50,0.39519999999999994,7.040498953778297,43.92025240464136,111.13424191457835,111.13424191457835,0.0015720898417497715,FALSE,Outbreak basin,0.4764416843208529,1.2055710635649113,TRUE,FALSE,FALSE,Above threshold
6592,RR,2026-06-26,30.371103922526043,0.15,13.934570774705364,25,0.484,3.402325944742188,41.348688625730574,85.43117484655077,85.43117484655077,0.0037582058104386885,FALSE,Endemic,0.16310873401582354,0.33700151656161886,FALSE,FALSE,FALSE,Intermediate
6593,GR,2026-06-26,30.371103922526043,0.15,8.280949850529714,15,0.6021052631578947,3.9110212703235447,41.393491169437766,68.74793113805224,68.74793113805224,0.00330166773871898,FALSE,Endemic,0.12045380440468524,0.20005439542736186,FALSE,FALSE,FALSE,Intermediate
6594,GR,2026-06-26,30.371103922526043,0.15,10.033962325689469,15,0.5808,7.1416314244270325,39.45085076848045,67.92501854077213,67.92501854077213,0.0038034278334696764,FALSE,Endemic,0.14772115696466925,0.25434083499426524,FALSE,FALSE,FALSE,Intermediate
6595,SI,2026-06-26,30.371103922526043,0.15,3.6417498103915595,15,0.4496,3.017136857379228,21.37355402810499,47.53904365681715,47.53904365681715,0.01202339235135809,FALSE,Endemic,0.07660544954756002,0.17038578636023136,FALSE,FALSE,FALSE,Intermediate
6596,AL,2026-06-26,30.371103922526043,0.15,10.43954979591241,15,0.2201761409127302,5.521838682470843,22.83499570330605,103.71239866701548,103.71239866701548,0.0036128997404520757,FALSE,Endemic,0.1006586476649738,0.4571732761220083,FALSE,FALSE,FALSE,Intermediate
6597,GR,2026-06-26,30.371103922526043,0.15,137.2498500237703,40,0.20394736842105263,4.248718552291393,28.0801091180183,137.68311567544455,137.68311567544455,0.006712328740622247,FALSE,Outbreak basin,0.9968531678735716,4.8877961779607375,TRUE,TRUE,FALSE,Carrying capacity
6598,TB,2026-06-26,30.371103922526043,0.15,7.891885299015807,0,0.5508406725380304,9.4211458342615515,24.047449794597924,43.65590813001862,43.65590813001862,0.005751190162638048,FALSE,Endemic,0.18077473673235078,0.3281797182830031,FALSE,FALSE,TRUE,Endemic
6599,RR,2026-06-26,30.371103922526043,0.15,31.566520873377193,40,0.39556592765460913,4.461218202253804,43.255233492236584,109.35025104084588,109.35025104084588,0.005598505236396103,FALSE,Endemic,0.2886735107867843,0.7297734476232276,FALSE,FALSE,FALSE,Intermediate
6600,TB,2026-06-26,30.371103922526043,0.15,7.206637268172326,5,0.5508406725380304,7.439870212692767,38.81197191774845,70.45952460067997,70.45952460067997,0.006701104440655342,FALSE,Endemic,0.1022805264301028,0.18568078126627674,FALSE,FALSE,TRUE,Endemic
6601,SI,2026-06-26,30.371103922526043,0.15,13.131985381412797,15,0.7219983883964545,7.705918999155983,33.80286107305437,46.81847164247821,46.81847164247821,0.0015587487405779362,FALSE,Endemic,0.2804872718121409,0.38848739321302106,FALSE,FALSE,FALSE,Intermediate
6602,RR,2026-06-26,30.371103922526043,0.15,3.2772901488734876,25,0.5012244897959184,3.1925366062205285,37.747460135724396,75.31048642713743,75.31048642713743,0.017526857851177854,FALSE,Endemic,0.043517049276321586,0.08682147453337775,FALSE,FALSE,FALSE,Intermediate
6603,AL,2026-06-26,30.371103922526043,0.15,9.289612810673601,0,0.22248995983935743,9.819228711770847,16.02349422639236,72.01895419443497,72.01895419443497,0.012710177311952875,FALSE,Endemic,0.12898844359213738,0.5797495027877655,FALSE,FALSE,TRUE,Endemic
6604,TB,2026-06-26,30.371103922526043,0.15,6.432774218991833,0,0.552,7.396045786561444,36.184215266257524,65.55111461278537,65.55111461278537,0.005351135208485408,FALSE,Endemic,0.09813371224868779,0.1777784642186373,FALSE,FALSE,TRUE,Endemic
6605,TW,2026-06-26,30.371103922526043,0.15,31.116894918961812,25,0.3191659983961508,7.2358967661857605,17.65420240117237,55.313543704175736,55.313543704175736,0.0022705096084774026,FALSE,Outbreak basin,0.5625547168950004,1.7625772160001643,TRUE,FALSE,FALSE,Above threshold
6606,RR,2026-06-26,30.371103922526043,0.15,3.430477430316221,20,0.46880000000000005,3.3382913297973573,44.316956482362,94.53275700162543,94.53275700162543,0.014437816558236033,FALSE,Endemic,0.03628876951359026,0.07740778479861403,FALSE,FALSE,FALSE,Intermediate
6607,TW,2026-06-26,30.371103922526043,0.15,22.865800158184687,25,0.4238782051282051,4.406648668227717,30.04348325310275,70.87763156875658,70.87763156875658,0.0017663692882289193,FALSE,Endemic,0.32260954058549707,0.7610901827045375,FALSE,FALSE,FALSE,Intermediate
6608,GR,2026-06-26,30.371103922526043,0.15,46.33842527172079,45,0.26380873866446825,4.285561597906053,42.88065338507295,162.54447673779214,162.54447673779214,0.0015231983792794706,FALSE,Outbreak basin,0.28508151246794683,1.080637108198811,TRUE,FALSE,FALSE,Above threshold
6609,SI,2026-06-26,30.371103922526043,0.15,8.021045623635722,0,0.696,8.104769833851606,40.69944087183103,58.47620814918252,58.47620814918252,0.013183407828202183,FALSE,Endemic,0.1371676768639427,0.1970799954941706,FALSE,FALSE,TRUE,Endemic
