sim_id,site_code,min_N,max_N,final_N
8475,RR,13.450219215695233,15,13.450219215695233
8476,TW,10.205515239466061,15,10.205515239466061
8477,SI,0,4.499972512004508,4.499972512004508
8478,TB,4.284697359974158,5,4.284697359974158
8479,GR,55,108.50553625309495,108.50553625309495
8480,SI,0,4.719919107152685,4.719919107152685
8481,SI,0,6.728689826788747,6.728689826788747
8482,RR,17.372866789301877,35,17.372866789301877
8483,SI,0,7.5715693869925405,7.5715693869925405
8484,TW,45,58.4684309842827,58.4684309842827
8485,TB,0,3.90507484289387,3.90507484289387
8486,GR,65,126.34119412662407,126.34119412662407
8487,TW,10.392263525287976,15,10.392263525287976
8488,TW,50,54.55202722860523,54.55202722860523
8489,TB,5,7.951819359905732,7.951819359905732
8490,TW,50,53.46307241171701,53.46307241171701
8491,AL,5.449639920760291,10,5.449639920760291
8492,SI,7.787020333175843,15,7.787020333175843
8493,GR,35,70.36000056321608,70.36000056321608
8494,GR,30,83.93598571002515,83.93598571002515
8495,SI,0,2.410706888518481,2.410706888518481
8496,SI,0,5.237174672689316,5.237174672689316
8497,TB,0,4.328618929807378,4.328618929807378
8498,RR,40,45.14892055754876,45.14892055754876
8499,RR,45,47.04694078676521,47.04694078676521
8500,SI,0,7.9821257054555526,7.9821257054555526
8501,SI,4.454189578122649,5,4.454189578122649
8502,AL,0,6.509719509503367,6.509719509503367
8503,TW,50,54.629706927551894,54.629706927551894
8504,RR,14.912759520418382,20,14.912759520418382
8505,TB,5,7.154030806478286,7.154030806478286
8506,TW,50,72.78713215424922,72.78713215424922
8507,GR,55,134.17733840177067,134.17733840177067
8508,AL,0,3.8333651942032314,3.8333651942032314
8509,SI,7.84046048982087,10,7.84046048982087
8510,SI,0,5.81408617162741,5.81408617162741
8511,TB,0,6.614114151143112,6.614114151143112
8512,RR,15.3194141134241,20,15.3194141134241
8513,RR,50,51.952360056081616,51.952360056081616
8514,GR,8.636682497829316,10,8.636682497829316
8515,TW,12.942637632024061,15,12.942637632024061
8516,GR,20.200123069385853,25,20.200123069385853
8517,TW,45,47.37058357081027,47.37058357081027
8518,RR,40,42.72720929806305,42.72720929806305
8519,TW,5,5.020658035816135,5.020658035816135
8520,RR,55,84.44414780017262,84.44414780017262
8521,TW,16.765811420034485,25,16.765811420034485
8522,SI,13.39120809146389,15,13.39120809146389
8523,TW,9.685277456822774,15,9.685277456822774
8524,TW,11.032119306469982,15,11.032119306469982
8525,RR,4.194591008137055,15,4.194591008137055
8526,GR,45,68.93492947674574,68.93492947674574
8527,AL,0,5.54808199385907,5.54808199385907
8528,TB,5,6.353122718157132,6.353122718157132
8529,TW,40,96.36979428842977,96.36979428842977
8530,TW,40,43.87383739615201,43.87383739615201
8531,AL,6.675793304407906,10,6.675793304407906
8532,TW,6.378006708867434,15,6.378006708867434
8533,TB,0,7.207297381079649,7.207297381079649
8534,TB,0,4.597493910903332,4.597493910903332
8535,GR,30,47.63387077725188,47.63387077725188
8536,SI,0,3.4587619549205635,3.4587619549205635
8537,TB,4.304850862570938,5,4.304850862570938
8538,GR,35,39.10251391150232,39.10251391150232
8539,RR,23.440164558824236,25,23.440164558824236
8540,SI,7.773574697000942,10,7.773574697000942
8541,TW,45,50.65151917228883,50.65151917228883
8542,GR,45,48.52967936995034,48.52967936995034
8543,TW,75,82.49999862059367,82.49999862059367
8544,AL,8.055829622817724,10,8.055829622817724
8545,AL,7.618233483322686,15,7.618233483322686
8546,SI,0,5.922537551766727,5.922537551766727
8547,SI,5,5.633903054693908,5.633903054693908
8548,TB,0,2.847799641887658,2.847799641887658
8549,RR,50,53.72241862662523,53.72241862662523
8550,TB,5,6.274153791078327,6.274153791078327
8551,TB,5,5.1487029235635555,5.1487029235635555
8552,TB,4.952500778300374,5,4.952500778300374
8553,TB,5,8.097400138270835,8.097400138270835
8554,GR,40,60.76264593030434,60.76264593030434
8555,RR,50,53.933537095045466,53.933537095045466
8556,SI,0,5.499038106306561,5.499038106306561
8557,TW,21.655927644284837,25,21.655927644284837
8558,GR,25,30.300867955699836,30.300867955699836
8559,TB,5,6.138350316307971,6.138350316307971
8560,SI,9.250087979822048,10,9.250087979822048
8561,TB,5,6.662798344998484,6.662798344998484
8562,GR,11.36264380560873,15,11.36264380560873
8563,GR,25,47.82293988751259,47.82293988751259
8564,GR,50,71.05796774549894,71.05796774549894
8565,AL,8.950844121326842,10,8.950844121326842
8566,TB,4.939776903871762,5,4.939776903871762
8567,RR,19.020652957216427,25,19.020652957216427
8568,RR,35,36.923243477346645,36.923243477346645
8569,TB,3.348593961277602,5,3.348593961277602
8570,SI,4.255839791923076,5,4.255839791923076
8571,TW,0,3.1433786015481537,3.1433786015481537
8572,GR,9.292927710796754,10,9.292927710796754
8573,TW,50,54.88544521003766,54.88544521003766
8574,AL,5,5.9614358240994445,5.9614358240994445
8575,SI,4.355862300737895,5,4.355862300737895
8576,TW,3.297747925535433,15,3.297747925535433
8577,GR,35,84.12783642930256,84.12783642930256
8578,GR,55,116.74638676283566,116.74638676283566
8579,GR,55,97.75851895424644,97.75851895424644
8580,SI,3.9280834940751923,5,3.9280834940751923
8581,TB,4.437478355720049,5,4.437478355720049
8582,RR,8.153794688126705,10,8.153794688126705
8583,SI,5,9.085091420853312,9.085091420853312
8584,TW,45,64.14525761680189,64.14525761680189
8585,SI,9.104528779775222,10,9.104528779775222
8586,RR,45,51.54414226370492,51.54414226370492
8587,AL,0,4.0096543835388925,4.0096543835388925
8588,SI,5,7.066931949338132,7.066931949338132
8589,GR,35,45.42012711630608,45.42012711630608
8590,TB,5,7.190500310689003,7.190500310689003
8591,TW,45,67.40556051357544,67.40556051357544
8592,AL,0,3.0934128129883147,3.0934128129883147
8593,GR,40,71.62991066534164,71.62991066534164
8594,SI,18.916810136431373,20,18.916810136431373
8595,TW,7.091803248602663,10,7.091803248602663
8596,SI,0,4.140246658967138,4.140246658967138
8597,AL,11.591047467757146,15,11.591047467757146
8598,TW,45,48.72169117212287,48.72169117212287
8599,GR,55,65.51056775818677,65.51056775818677
8600,TW,10.904535476818744,15,10.904535476818744
8601,TB,5,6.127995663491102,6.127995663491102
8602,SI,5,8.149596516119203,8.149596516119203
8603,SI,0,3.3094188772323903,3.3094188772323903
8604,AL,12.711192556472835,15,12.711192556472835
8605,TB,0,9.038825883814306,9.038825883814306
8606,GR,50,66.02543246968335,66.02543246968335
8607,GR,45,45.815299980067984,45.815299980067984
8608,GR,7.462047321929985,15,7.462047321929985
8609,GR,45,55.94774188282232,55.94774188282232
8610,RR,55,62.04989588607641,62.04989588607641
8611,TB,5,5.832972850045844,5.832972850045844
8612,TW,0,3.911320257937125,3.911320257937125
8613,GR,3.0387063870650617,15,3.0387063870650617
8614,GR,35,90.40736135202079,90.40736135202079
8615,RR,35,36.901149584869245,36.901149584869245
8616,TB,4.101502512979464,5,4.101502512979464
8617,TW,45,52.870435466954866,52.870435466954866
8618,SI,0,9.301058483958276,9.301058483958276
8619,TB,5,7.02870132575717,7.02870132575717
8620,SI,5,6.595519274683465,6.595519274683465
8621,GR,17.48769049635543,20,17.48769049635543
8622,TB,0,5.139774570428373,5.139774570428373
8623,GR,11.855490058250787,15,11.855490058250787
8624,GR,55,69.73068415682735,69.73068415682735
8625,TW,75,95.89538867043049,95.89538867043049
8626,GR,6.7474724968715405,15,6.7474724968715405
8627,GR,12.933767693840396,20,12.933767693840396
8628,TB,5,5.613864361282696,5.613864361282696
8629,SI,0,3.3962819210775783,3.3962819210775783
8630,GR,40,123.13486923266161,123.13486923266161
8631,GR,55,111.58463010512382,111.58463010512382
8632,RR,39.868026196899606,40,39.868026196899606
8633,TW,5.248450063571734,15,5.248450063571734
8634,RR,40,52.13436491405503,52.13436491405503
8635,AL,7.923712082326058,10,7.923712082326058
8636,GR,19.360532420179485,20,19.360532420179485
8637,RR,9.884083427875597,10,9.884083427875597
8638,GR,7.164286139154832,15,7.164286139154832
8639,GR,55,69.03920622387514,69.03920622387514
8640,TW,75,89.0685524740175,89.0685524740175
8641,TW,40,41.61229906615137,41.61229906615137
8642,TB,5,5.137786535794511,5.137786535794511
8643,GR,50,156.29620219783644,156.29620219783644
8644,SI,10.560525163298188,20,10.560525163298188
8645,TW,30,31.035322820151322,31.035322820151322
8646,TB,5,6.050756572121571,6.050756572121571
8647,RR,14.646959473590673,20,14.646959473590673
8648,SI,9.881410031383604,15,9.881410031383604
8649,RR,55,57.33490367327493,57.33490367327493
8650,RR,33.38659755507956,35,33.38659755507956
8651,RR,11.164679523966647,25,11.164679523966647
8652,TW,12.24761168265443,15,12.24761168265443
8653,TB,5,5.103507498545576,5.103507498545576
8654,TB,0,4.03059520536131,4.03059520536131
8655,GR,15.317671989497887,25,15.317671989497887
8656,GR,55,111.9184643159275,111.9184643159275
8657,SI,20,21.80331371474187,21.80331371474187
8658,TW,9.306175305046397,25,9.306175305046397
8659,GR,7.270161007767972,20,7.270161007767972
8660,TW,25,91.54700066060867,91.54700066060867
8661,RR,55,60.499885769840795,60.499885769840795
8662,AL,8.092679152460157,10,8.092679152460157
