site,n_surveys,N0_type,N0,substrate_date,live_coral_prop,live_coral_percent,state1_scenario,State_1,kc_scenario,K_c,sst_scenario,SST,r_T,K_t,valid_state_order,observed_threshold_position,sim_id
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,high_coral_high_K,100,warm,31,0.0037267965227149014,NA,NA,NA,108
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,low_coral_low_K,25,cool,27,0.004258352536147206,NA,NA,NA,109
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,low_coral_low_K,25,current_mean,29,0.004975062395963412,NA,NA,NA,110
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,NA,NA,NA,111
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,low_coral_low_K,25,warm,31,0.0037267965227149014,NA,NA,NA,112
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,NA,NA,NA,113
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,NA,NA,NA,114
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,NA,NA,NA,115
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,NA,NA,NA,116
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,NA,NA,NA,117
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,NA,NA,NA,118
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,NA,NA,NA,119
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,NA,NA,NA,120
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,7.9,FALSE,above_threshold,121
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,7.9,FALSE,above_threshold,122
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,7.9,FALSE,above_threshold,123
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,7.9,FALSE,above_threshold,124
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,high_coral_high_K,100,cool,27,0.004258352536147206,39.5,TRUE,above_threshold,125
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,high_coral_high_K,100,current_mean,29,0.004975062395963412,39.5,TRUE,above_threshold,126
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,39.5,TRUE,above_threshold,127
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,high_coral_high_K,100,warm,31,0.0037267965227149014,39.5,TRUE,above_threshold,128
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,low_coral_low_K,25,cool,27,0.004258352536147206,9.875,TRUE,above_threshold,129
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,low_coral_low_K,25,current_mean,29,0.004975062395963412,9.875,TRUE,above_threshold,130
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,9.875,TRUE,above_threshold,131
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,low_coral_low_K,25,warm,31,0.0037267965227149014,9.875,TRUE,above_threshold,132
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,19.75,TRUE,above_threshold,133
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,19.75,TRUE,above_threshold,134
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,19.75,TRUE,above_threshold,135
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,19.75,TRUE,above_threshold,136
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,29.625,TRUE,above_threshold,137
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,29.625,TRUE,above_threshold,138
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,29.625,TRUE,above_threshold,139
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,base_endemic,8,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,29.625,TRUE,above_threshold,140
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,7.9,FALSE,above_threshold,141
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,7.9,FALSE,above_threshold,142
